Champion,Cooldowns,Difficulty,Conseils pour les matchs,Starting Items,Pictures
Ornn,"Q 9-7, W 12-10, E 16-12, R 140-100",3,Un des matchs de tank les plus faciles. Vous pouvez vous déplacer gratuitement car il ne fait pas de dégâts. Faites juste de votre mieux pour esquiver ses Q et ne restez pas près de ses Q ou de ses murs à cause de son E. Ne le laissez pas vous auto W et cette voie est gratuite. Vous pouvez E pour esquiver son ult si vous le faites correctement. Gardez votre E pour quand il vous Ws ; vous passerez derrière lui et il n'aura pas le brittle sur vous.,"Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ornn_0.jpg
Pantheon,"Q 13-8, W 13-9, E 22-16, R 180-150",XD,"Ce matchup est impossible en début de partie, sauf s'il joue mal. Son kit ne fait que contrer le vôtre. Vous n'avez aucun moyen d'échanger avec lui à cause de son E. Il peut vous faire un full combo à répétition et vous n'avez aucun moyen de réagir ou de le surpasser. Vous devez jouer en toute sécurité dans cette voie ou vous allez mourir encore et encore. Ne vous approchez pas quand il a son passif complètement empilé. Vous n'avez vraiment une chance qu'après avoir obtenu Shieldbow, mais même là, son champion est tout simplement meilleur en début de partie. Jouez avec l'objectif de changer d'échelle. Utilisez votre W lorsqu'il vous fait des Q ou des W pour esquiver une partie des dégâts. Vous pouvez E son W si vous le faites correctement.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Pantheon_0.jpg
Poppy,"P 13-7, Q 8-4, W 24-16, E 14-10, R 140-100",8,"Ce matchup est très difficile si elle est bonne. Elle a des dégâts de base très élevés et son W contrarie tout votre kit. Si vous lui faites un Q3 ou un E, vous serez cloué au sol pendant un moment et elle pourra vous battre. Essayez de marcher sur son passif quand elle l'utilise pour farmer. Ne vous approchez PAS des murs pour quelque raison que ce soit, sinon vous mourrez/se faites chunker. Si elle utilise son passif sur vous, faites juste les dégâts. A Shieldbow, cette voie est un peu plus facile, mais Poppy reste Poppy.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Poppy_0.jpg
Qiyana,"Q 7, W 7, E 12-8, R 120",7,Ce matchup est une aide grâce à sa furtivité et sa mobilité. L'armure de tissu tôt est bonne ici ainsi elle ne peut pas 100 à 0 vous. Faites de votre mieux pour esquiver ses Qs. Vous pouvez esquiver son ult avec votre E ou ult. Elle peut vraiment punir votre positionnement ; ne vous tenez pas près des murs ou vous mourrez ou serez vraiment chunky. Faites un ping lorsqu'elle est mia car elle adore vagabonder. Soyez prudent dans la rivière car son ult vous étourdira également.,"Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Qiyana_0.jpg
Quinn,"Q 11-9, W 50-30, E 12-8, R 3",6,"Ce matchup est seulement ennuyeux au début à cause de sa portée. Vous ne pouvez pas E sur elle, sinon elle vous E en retour. Au lieu de cela, vous devriez E dans Q3. Ne la laissez pas vous piquer gratuitement et donnez des cs quand c'est nécessaire, mais faites de votre mieux pour rester à portée de xp. Vous êtes plus fort qu'elle à Shieldbow, alors faites de votre mieux pour le farmer.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Quinn_0.jpg
Renekton,"Q 8, W 13-9, E 18-14, R 120",10,"Ce matchup est impossible à gagner en 1v1 juste parce que son kit contre le vôtre. Un tabis précoce est indispensable. La seule fenêtre que vous avez pour le battre tôt est au niveau 1 et au niveau 2 ; il est incroyablement faible à ce stade. Après cela, vous ne pouvez pas échanger avec lui, sauf s'il joue mal. Soyez très prudent s'il utilise Prowler's car il vous fera 100 à 0 même avec des tabis. Au niveau 6, vous ne pouvez toujours pas le combattre, alors faites de votre mieux pour ne pas mourir à répétition.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Renekton_0.jpg
Riven,"Q 13, W 11-7, E 10-6, R 120-60",10,"Ce matchup est un cauchemar et il est totalement sous le contrôle de Riven. Son champion est tout simplement meilleur. Elle peut simplement vous engager en perma, vous cc en perma, et vous mettre à 100 à 0 avec Conq. Faites de votre mieux pour farmer et progresser. Au niveau 6, si vous faites un faux pas ou utilisez votre E de manière incorrecte, vous mourrez. Elle vous contrôle en permanence.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Riven_0.jpg
Rumble,"Q 10-6, W 6, E .5/ 6, R 100-70",8,"Ce matchup est très difficile. Il peut tout rater et quand même vous tuer à cause de la façon dont sa chaleur fonctionne. Faites de votre mieux pour esquiver ses Es car ils lui donnent plus de stylo magique. Ne le combattez pas quand il utilise Q ou vous perdrez toujours l'échange. Ping mia car les Rumbles adorent se déplacer. Il fait beaucoup trop de dégâts pour que Yone puisse les gérer. Ne vous battez PAS contre lui lorsqu'il est en surchauffe, ses autos surpassent les vôtres.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rumble_0.jpg
Ryze,"Q 6, W 13-9, E 3.5-2.5, R 210-150",5,"Il est très ennuyeux en début de partie. Il ne fait que vous pousser à l'intérieur. Ce matchup est beaucoup plus facile avec Lethal Tempo, mais il fait toujours une quantité décente de dégâts. Ne le laissez pas vous harceler gratuitement. Ne restez pas près de la vague quand il fait son EQ ou vous serez touché aussi. Vous pouvez le tuer au niveau 6 s'il fait un faux pas ou s'il reste trop longtemps. S'il essaie de s'éloigner par Ult, Q3 ou ult et son ult sera annulé.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ryze_0.jpg
Seraphine,"Q 10-5, W 26-22, E 13-9, R 160-100",1,"Ce matchup est gratuit. Vous pouvez changer d'échelle, elle n'a pas de pression pour tuer, sauf si vous essayez de vous faire frapper par tout. Vous la roulez à Shieldbow, alors faites du farm jusque là. Elle joue super loin derrière, alors concentrez-vous sur le cs'ing plutôt que d'essayer de la tuer. Elle peut être ennuyeuse à cause de son sustain, de ses boucliers et de ses mouvements.
vitesse.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Seraphine_0.jpg
Sett,"Q 9-5, W 18-12, E 16-10, R 120-80",9,"Ce matchup est assez difficile. Ne vous approchez pas de vos serviteurs, sinon il vous étourdira et vous fera perdre du terrain. Il vous soutient aussi grâce à son passif. Gardez votre E pour esquiver son W. Il ne fait que vous contrôler tout au long du match, donc vous ne gagnerez probablement jamais en 1v1 à moins de le surpasser. Lane est un peu plus facile après Shieldbow, mais Sett est Sett.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sett_0.jpg
Shen,"P 10, Q 8-5, W 18-12, E 18-10, R 200-160",8,"Ce matchup est difficile. Essayez d'esquiver son E avec le vôtre. Ne le combattez pas sur son W. Jouez juste à l'échelle. Cette voie est beaucoup plus facile après Shieldbow. Pointez-le quand il est à 6 et essayez de suivre son ult cd. Ne marchez pas entre lui et son épée, car si elle vous traverse, il vous ralentira et fera plus de dégâts.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Shen_0.jpg
Singed,"Q 1, W 17-13, E 10-8, R 120-100",3,"Règle n°1 de League of Legends : Ne pas courir après Singed. Vous pouvez le tuer au niveau 1 grâce à Lethal Tempo. Son W contre votre Q3 et votre E, alors essayez simplement de ne pas vous battre avec lui quand il l'utilise. Dès qu'il fait un ults, désengagez-vous ; il obtient tellement de stats gratuites que cela ne vaut pas la peine de perdre votre temps ou de faire des dégâts pour le combattre. Lane est très facile après Shieldbow.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Singed_0.jpg
Sion,"Q 10-6, W 15-11, E 12-8, R 140-60",3,"Ce matchup est incroyablement facile. Il a des cooldowns très longs au début, donc il faut en profiter. Plus tard dans la voie, c'est plus ennuyeux à cause de la façon dont il devient tanky, mais ses capacités sont tellement télégraphiées qu'il ne devrait jamais vous tuer. Respectez les buissons et ne le laissez pas charger complètement Q sur vous. Vous pouvez casser son W avant qu'il ne charge pour bloquer ses dégâts. Vous pouvez faire un perma all-in avec E ; les vrais dégâts de la marque vous aideront pour les échanges.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sion_0.jpg
Sylas,"Q 10-6, W 13-6, E 14-10, R 100-40",6,"Ce matchup est ennuyeux à cause de son sustain et de son burst. Vous ne pouvez pas faire Q3 sur lui ou il vous E. Rush vamp scepter pour répondre à son sustain. Vous devez esquiver ses Qs, surtout la deuxième partie. Ne prenez pas d'échanges prolongés avec lui. Cachez-vous entre les minions pour qu'il ne puisse pas vous frapper avec la deuxième partie de son E. Rappel mortel est un bon deuxième item, surtout si l'équipe ennemie a plus de soins.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sylas_0.jpg
Syndra,"Q 4, W 12-8, E 18-14, R 120-80",8,"Ce matchup est l'un des plus ennuyeux pour les mages. Elle va vous Q chaque fois que vous allez pour cs. Lorsque vous E, elle vous E en retour. Pour contrer cela, essayez d'être plus erratique dans vos mouvements pour l'esquiver. Vous ne pouvez faire un all-in ou échanger avec elle que si elle rate son E. Un manteau précoce est bon pour qu'elle ne puisse pas vous mettre 100 à 0 quand elle atteindra le niveau 6. Jouez à l'échelle et mettez en place des ganks avec votre jungler car elle est très immobile.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Syndra_0.jpg
Tahm Kench,"Q 7-5, W 21-17, E 3, R 120-80",5,"Yone est en fait très bon contre lui car il est très mobile. Vous pouvez esquiver son W avec votre E. Faites juste de votre mieux pour esquiver ses Qs ou vous perdrez la voie très facilement. Vous pouvez pratiquement jouer à l'échelle et farmer dans ce matchup. Respectez simplement son niveau 1. La voie est beaucoup plus facile après Shieldbow, mais il vous fera toujours un stat check. Essayez de ne pas faire processionner votre E avant que son bouclier ne se désactive. Essayez de garder votre Q3 pour la fin de votre E au cas où il essaierait de vous W quand vous y retournez.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/TahmKench_0.jpg
Talon,"Q 8-6, W 9-7, E 2, R 100-60",4,"Ce matchup est assez facile. Respectez simplement son powerspike de niveau 2. Ne le laissez pas atterrir les deux parties de son W ou vous perdrez beaucoup de HP. Prenez une armure en tissu tôt si vous pensez en avoir besoin. Quand il fait son W, vous pouvez E derrière lui et esquiver la deuxième partie ; il ne peut pas proc son passif si vous faites cela. Au niveau 6, c'est un peu plus difficile. Mais la façon dont vous le jouez reste la même.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Talon_0.jpg
Teemo,"Q 7, W 14, R .75 / 30-20",8,"Depuis le buff de son Q, ce matchup est beaucoup plus difficile. Ne le combattez pas tôt à cause de son poison. Jouez à l'échelle ; ne vous souciez pas d'échanger avec lui au début. Il vous surclassera avec Q. Une fois que vous aurez Shieldbow, la voie est beaucoup plus facile, cependant. Obtenez Red Trinket vers le niveau 6 pour ne pas toucher ses champignons.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Teemo_0.jpg
Tristana,"Q 20-16 , W 22-14 , E 16-14 , R 120-100",10,"Cette voie est impossible au début. Si vous vous approchez, elle vous E Ws et vous mourrez ou vous soufflez. Jouez super safe au début et abandonnez les cs, mais essayez de rester à portée de xp. Si elle Ws sur vous, essayez de E dans elle pour esquiver les dommages et le ralentissement, empilez votre Q3 sur la vague, E retour, et Q3 à la sécurité. Exhaust est un must dans le matchup. La voie est beaucoup plus facile à mesure que vous progressez, alors faites de votre mieux pour farmer.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Tristana_0.jpg
Tryndamere,"Q 12 , W 14 , E 12-8 (crits) , R 110-90",5,"Ce matchup est ennuyeux mais il est plutôt équilibré. Il vous soutient plus longtemps que vous. Il est beaucoup plus fort que vous au début avec Lethal Tempo, alors respectez cela. Quand il est sur vous, E dans la vague, empilez Q3, retournez à votre E, et Q3 dehors. Faites de votre mieux pour le kiter. Vous pouvez prendre ignite dans ce matchup pour gagner le niveau 1, mais si vous mourrez, votre lane est terminée.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Tryndamere_0.jpg
Twisted Fate,"Q 6, W 8-6, R 180-120",3,"Ce matchup est assez facile. Echangez avec lui ou faites-lui un all-in lorsqu'il utilise son W. Faites de votre mieux pour esquiver ses Q. Il cherchera juste à pousser et à vagabonder, alors faites-lui un ping mia quand il le fera. Vous pouvez nettoyer sa carte Gold avec un bon timing sur votre E.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/TwistedFate_0.jpg
Urgot,"P 30-2.5, Q 10-8, W 12-0, E 16-14, R 100-70",7,"Utilisez votre E pour esquiver son E. Si vous êtes touché par son E, vous mourrez ou vous devrez faire un flash. Il contrôle complètement la lane en début de partie, alors faites de votre mieux pour farmer et changer d'échelle. La voie est super facile après Shieldbow tant que vous pouvez esquiver son E.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Urgot_0.jpg
Vayne,"Q 4-2, E 20-12, R 100-70",8,"Cette voie est similaire à Akshan ou Lucian. Vous ne pouvez pas marcher pour les cs ou vous allez juste vous faire chunker. Faites de votre mieux pour rester à portée de xp tout en donnant des cs. Vous ne pouvez pas vraiment échanger avec elle jusqu'à Shieldbow, mais même là, sa mobilité est odieuse. Ne la laissez jamais processionner son W sur vous. Elle est très molle, donc une fois que vous êtes sur elle, vous devriez être capable de la tuer. Si vous lui faites E ou Q3, elle vous fera E. Ne vous approchez jamais d'un mur ou elle vous E contre le mur et vous mourrez probablement.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vayne_0.jpg
Veigar,"Q 6-4, W 8-1, E 18-12, R 120-60",2,"Ce matchup est incroyablement facile. Vous pouvez farmer gratuitement et vous déplacer. Faites de votre mieux pour esquiver ses Q et W. La seule vraie menace qu'il a est sa cage, surtout si et quand vous vous faites ganker. Votre E arrêtera l'étourdissement, mais vous serez étourdi lorsque vous reviendrez. Si vous êtes dans la cage, vous pouvez en sortir par ultramarche car vous êtes inarrêtable. Essayez de le priver de ses stacks, mais ne jouez pas trop le jeu.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Veigar_0.jpg
Vel'Koz,"Q 7, W 1.5/ 19-15, E 16-12, R 120-80",3,"Matchup relativement facile tant que vous pouvez esquiver son kit. Restez en dehors de la vague quand il Ws. Vous pouvez esquiver ses Q et E avec votre E. Lorsqu'il utilise ses capacités sur la vague, vous pouvez alors chercher un échange ou un all-in. Il devrait être assez facile à tuer après le niveau 6 puisqu'il est immobile.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Velkoz_0.jpg
Vex,"P 25-16, Q 9-5, W 20-12, E 13, R 140-100",10,Ce matchup est un cauchemar au début. Son kit ne fait que contrer le vôtre. Son passif vous effraiera de votre Q3 et de votre E. Allez sur elle quand elle utilise ses sorts pour nettoyer les vagues et quand son passif est en cooldown. Vous ne pouvez pas la combattre quand son passif est actif. Un manteau magique nul précoce similaire à celui d'Annie ou de Fizz l'empêchera de vous tirer dessus avec son combo complet au niveau 6.,"Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vex_0.jpg
Viktor,"Q 9-5, W 17-13, E 12-8, R 120-80",5,"C'est plutôt une voie de farm. Ne prenez pas trop de coups de sa part et tout ira bien. Il cherchera à vous pousser quand il aura son augmentation E. Utilisez votre W pour protéger une partie de son poke Q. Si jamais vous faites Q3 ou E sur lui, il ne fera que W, donc E dehors. Au niveau 6, c'est un peu plus facile, mais il fait beaucoup de dégâts alors essayez d'échanger ou de faire un all-in quand il utilise Q ou E.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Viktor_0.jpg
Vladimir,"Q 9-4.6, W 28-16, E 13-5, R 120",7,"Un bon Vlad peut rendre cette voie infernale, surtout s'il fait de l'électrocution. Ne vous approchez pas de lui et n'essayez pas d'échanger avec lui lorsqu'il a son Powered Q. Vous pouvez mettre des points supplémentaires dans votre E car le cooldown de son W est très long. Executioner's n'est pas vraiment nécessaire puisque vous allez probablement prendre ignite. Un manteau de nullité précoce si vous êtes à la traîne convient également.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vladimir_0.jpg
Volibear,"Q 14-10, W 5, E 13, R 160-120",9,"Une voie très difficile. Prenez des échanges courts contre lui et mettez-le en échec. S'il vous Ws, vous devez reculer ou vous prendrez beaucoup de dégâts et il sera soigné. W lui quand il va vous Q. Utilisez votre E pour l'éviter. Faites attention au niveau 6 car il peut vous faire plonger.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Volibear_0.jpg
Warwick,"Q 6, W 120-60, E 15-11, R 110-70",7,"Ce matchup est très ennuyeux, mais c'est littéralement juste un choix de fromage. N'essayez pas de le tuer parce qu'il va simplement dépasser vos dégâts avec son passif. Jouez simplement la sécurité et le farm. Grevious ne lui fait rien.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Warwick_0.jpg
Wukong,"Q 9-7, W 20-16, E 10-8, R 120-90",10,"Ce matchup est presque impossible car c'est juste un Bruiser Malphite. Il va vous auto et obtenir de l'armure grâce à son passif. W quand il Es sur vous pour bloquer une partie des dégâts. Early ninja tabi est vraiment bon dans Wukong parce que tous ses dégâts sont des attaques de base. S'il vous attaque, essayez de vous en sortir avec E et Q. Essayez simplement de geler la vague près de votre tour si vous le pouvez.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/MonkeyKing_0.jpg
Xerath,"P 12, Q 9-5, W 14-10, E 13-11, R 130-100",3,"Il suffit d'esquiver son poke et cette voie est incroyablement facile. Si vous bloquez la vague à votre tour, il est obligé de monter à pied. Il est très vulnérable aux ganks et super immobile. Utilisez votre E pour esquiver ses Q, W, et ults. Si jamais vous lui faites Q3 ou E, il vous fera E. Au niveau 6, vous pouvez simplement l'ultramarquer et il ne peut pas faire grand chose.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Xerath_0.jpg
Yasuo,"Q 4-1.33, W 30-18, E .5-.1, R 80-30",6,Il est beaucoup plus fort jusqu'au niveau 3. Ne prenez pas trop de dégâts au début et tout ira bien. Il cherchera à bloquer votre Q3. Vous pouvez toujours éliminer son passif. Essayez de ne pas vous battre dans la vague de minions parce qu'il va E encore et encore. Ce matchup est purement un matchup de compétence après le niveau 3.,"Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Yasuo_0.jpg
Zed,"Q 6, W 20-14, E 5-3, R 120-80",10,"Ce matchup est un cauchemar si le Zed est bon. Vous devez garder votre E pour quand il utilise W ou vous aurez du mal à esquiver quoi que ce soit. Vous devez absolument prendre l'échappement contre Zed ou vous mourrez à répétition. Au niveau 6, vous devez jouer incroyablement sûr puisque vous n'avez aucune capacité d'évasion. Prenez une armure en tissu tôt et des steelcaps si leur jungler est aussi AD. Vous ne pouvez pas le Q3 ou l'ultramarine à moins que sa W et sa R ne soient sur le cooldown parce qu'il les esquivera et vous tuera. Prenez l'échappement.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zed_0.jpg
Ziggs,"P 12, Q 6-4, W 20-12, E 16, R 120-70",3,"Il ne peut pas vraiment jouer le jeu contre vous. Il suffit d'esquiver son poke Q et cette voie est un jeu d'enfant. Vous pouvez mettre des points supplémentaires dans votre E, comme dans le matchup de Vlad, puisque son W a un long cooldown et que c'est sa seule capacité d'évasion. Il se contentera également de pousser la vague en perma shove, ce qui vous permettra de farmer librement et d'escalader.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ziggs_0.jpg
Zoe,"Q 8.5-6.5, W .25, E 16-12, R 11-5",5,"Ce matchup est assez ennuyeux au début, mais une fois que vous avez des zerks et un sceptre de vampire, elle ne peut pas vraiment faire grand chose contre vous. Ne la laissez pas vous harceler gratuitement au début. Si vous E quand elle vous Es, cela l'annulera.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zoe_0.jpg
